IPK,Kehadiran,Jam_Belajar,Organisasi,Penghasilan_Ortu,Jenis_Kelamin,Status_Beasiswa,Lulus_Tepat_Waktu
2.74,84.2,4.3,Tidak Aktif,Menengah,Laki-laki,Ya,Tidak Tepat Waktu
2.87,85.0,4.4,Tidak Aktif,Rendah,Laki-laki,Tidak,Tepat Waktu
3.51,76.5,5.2,Tidak Aktif,Rendah,Perempuan,Tidak,Tepat Waktu
3.25,71.8,3.6,Aktif,Menengah,Laki-laki,Ya,Tidak Tepat Waktu
2.86,,3.3,Tidak Aktif,Tinggi,Laki-laki,Tidak,Tepat Waktu
3.33,71.7,2.8,Aktif,Rendah,Laki-laki,Ya,Tidak Tepat Waktu
3.14,,3.4,Tidak Aktif,Rendah,Perempuan,Ya,Tepat Waktu
3.54,76.3,3.2,Tidak Aktif,Tinggi,Perempuan,Tidak,Tepat Waktu
2.78,87.7,5.0,Aktif,Rendah,Perempuan,Tidak,Tepat Waktu
2.95,86.0,3.7,Tidak Aktif,Tinggi,Perempuan,Tidak,Tepat Waktu
2.92,94.5,5.2,Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
2.44,75.9,3.2,Tidak Aktif,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
3.23,78.8,3.5,Tidak Aktif,Rendah,Perempuan,Ya,Tidak Tepat Waktu
3.22,70.3,0.0,Tidak Aktif,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
,76.7,4.9,Tidak Aktif,Menengah,Laki-laki,Ya,Tepat Waktu
2.99,86.5,4.2,Aktif,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
2.46,91.1,5.6,Aktif,Menengah,Laki-laki,Tidak,Tidak Tepat Waktu
2.91,70.9,0.0,Aktif,Rendah,Perempuan,Ya,Tepat Waktu
2.95,92.4,7.6,Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
2.74,98.3,3.7,Aktif,Menengah,Perempuan,Ya,Tidak Tepat Waktu
3.03,87.0,5.6,Tidak Aktif,Menengah,Laki-laki,Ya,Tepat Waktu
3.28,100.0,2.1,Tidak Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
3.95,72.7,4.3,Tidak Aktif,Tinggi,Laki-laki,Tidak,Tepat Waktu
3.18,67.1,1.2,Aktif,Menengah,Laki-laki,Tidak,Tidak Tepat Waktu
,60.7,1.8,Tidak Aktif,Rendah,Perempuan,Ya,Tidak Tepat Waktu
3.07,100.0,7.4,Tidak Aktif,Menengah,Perempuan,Ya,Tepat Waktu
,89.9,3.4,,Rendah,Laki-laki,Ya,Tepat Waktu
3.09,81.3,3.9,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak Tepat Waktu
,,5.2,Tidak Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
4.0,68.5,4.0,Aktif,Rendah,Laki-laki,Tidak,Tepat Waktu
3.01,100.0,4.3,Tidak Aktif,Rendah,Laki-laki,Ya,Tepat Waktu
3.24,83.6,4.2,Tidak Aktif,Rendah,Perempuan,Ya,Tepat Waktu
3.08,83.3,7.8,Aktif,Tinggi,Laki-laki,Tidak,Tepat Waktu
2.57,90.7,3.7,,Tinggi,Laki-laki,Tidak,Tepat Waktu
3.61,87.8,,Tidak Aktif,Rendah,Perempuan,Ya,Tepat Waktu
3.44,84.7,5.5,Tidak Aktif,Tinggi,Perempuan,Tidak,Tepat Waktu
3.46,72.5,5.2,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
2.69,87.7,5.8,Tidak Aktif,Rendah,Laki-laki,Tidak,Tepat Waktu
3.73,100.0,5.1,Tidak Aktif,Rendah,Laki-laki,Ya,Tepat Waktu
2.47,98.1,1.9,Tidak Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
3.36,100.0,6.9,Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
4.0,75.9,1.2,Tidak Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
2.65,70.1,3.6,Tidak Aktif,Rendah,Perempuan,Ya,Tidak Tepat Waktu
2.85,80.5,2.1,Tidak Aktif,Rendah,Perempuan,Ya,Tidak Tepat Waktu
3.14,82.7,3.4,Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
2.87,95.1,4.5,Tidak Aktif,Rendah,Laki-laki,Tidak,Tepat Waktu
2.4,,3.5,Aktif,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
3.13,100.0,4.8,Aktif,Rendah,Perempuan,Tidak,Tepat Waktu
2.62,80.1,6.3,Aktif,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
3.31,76.9,4.1,Aktif,Tinggi,Perempuan,Tidak,Tepat Waktu
2.69,69.9,2.7,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
3.8,62.1,4.6,Tidak Aktif,Tinggi,Perempuan,Tidak,Tepat Waktu
2.75,91.9,5.9,Aktif,Rendah,Laki-laki,Tidak,Tepat Waktu
2.96,82.9,1.3,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak Tepat Waktu
3.47,66.5,4.1,Tidak Aktif,Rendah,Perempuan,Ya,Tidak Tepat Waktu
2.55,66.5,4.3,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
3.2,78.0,2.9,Aktif,Tinggi,Perempuan,Tidak,Tepat Waktu
3.69,100.0,6.5,Tidak Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
2.38,78.9,3.1,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak Tepat Waktu
3.18,64.0,3.2,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
3.22,79.1,3.1,Aktif,Rendah,Perempuan,Ya,Tepat Waktu
3.45,78.7,3.4,Aktif,Tinggi,Perempuan,Tidak,Tepat Waktu
2.54,49.6,0.5,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak Tepat Waktu
2.51,81.3,0.9,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
3.33,79.2,6.3,Tidak Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
3.23,90.4,2.3,Tidak Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
3.21,100.0,2.2,Aktif,Rendah,Laki-laki,Tidak,Tepat Waktu
3.26,95.5,,Tidak Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
2.79,78.8,2.2,Tidak Aktif,Rendah,Perempuan,Ya,Tidak Tepat Waktu
3.2,68.7,0.7,Tidak Aktif,Menengah,Laki-laki,Ya,Tepat Waktu
3.23,100.0,7.0,,Tinggi,Laki-laki,Tidak,Tepat Waktu
2.78,82.7,5.3,Tidak Aktif,Tinggi,Perempuan,Tidak,Tepat Waktu
3.94,82.2,2.3,Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
3.31,81.7,,Tidak Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
2.56,84.4,5.4,Aktif,Rendah,Laki-laki,Ya,Tidak Tepat Waktu
3.4,80.3,2.8,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
2.66,75.1,0.0,Tidak Aktif,Rendah,Perempuan,Ya,Tidak Tepat Waktu
3.45,75.4,7.4,Tidak Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
3.62,81.6,1.0,,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
2.73,75.5,0.3,Tidak Aktif,Rendah,Laki-laki,Tidak,Tepat Waktu
,73.4,5.0,Tidak Aktif,Menengah,Laki-laki,Ya,Tidak Tepat Waktu
3.29,83.3,7.9,Tidak Aktif,Rendah,Perempuan,Tidak,Tepat Waktu
3.47,78.9,5.9,Aktif,Menengah,Perempuan,Ya,Tepat Waktu
3.95,100.0,,Tidak Aktif,Rendah,Laki-laki,Tidak,Tepat Waktu
2.99,50.2,3.6,Tidak Aktif,Rendah,Laki-laki,Ya,Tidak Tepat Waktu
2.76,95.1,5.4,Aktif,Menengah,Laki-laki,Ya,Tepat Waktu
,97.0,5.4,Tidak Aktif,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
2.73,57.1,3.3,Tidak Aktif,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
3.07,77.9,3.6,Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
3.25,77.5,3.3,Tidak Aktif,Rendah,Perempuan,Tidak,Tepat Waktu
3.22,65.1,1.6,Aktif,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
3.47,72.7,2.7,Aktif,Rendah,Laki-laki,Ya,Tepat Waktu
3.11,68.7,0.1,Aktif,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.75,100.0,3.8,Tidak Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
2.98,93.2,2.0,,Rendah,Laki-laki,Ya,Tepat Waktu
4.0,97.3,2.0,Aktif,Rendah,Perempuan,Ya,Tepat Waktu
3.38,90.7,4.1,Tidak Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
2.71,68.5,5.6,Tidak Aktif,Rendah,Laki-laki,Tidak,Tepat Waktu
2.62,75.7,5.0,Aktif,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
3.32,87.9,0.9,Tidak Aktif,Rendah,Laki-laki,Ya,Tidak Tepat Waktu
3.0,67.3,1.3,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak Tepat Waktu
3.42,90.6,5.5,Tidak Aktif,Tinggi,Laki-laki,Tidak,Tepat Waktu
3.31,79.1,1.6,Tidak Aktif,Menengah,Laki-laki,Ya,Tidak Tepat Waktu
3.07,77.5,3.0,Tidak Aktif,Tinggi,Laki-laki,Tidak,Tepat Waktu
2.72,90.5,4.8,Tidak Aktif,Menengah,Perempuan,Ya,Tepat Waktu
2.42,,2.0,Tidak Aktif,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
2.9,77.7,3.6,Tidak Aktif,Rendah,Perempuan,Ya,Tepat Waktu
3.49,95.9,,Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
3.2,69.0,2.0,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
,89.4,4.3,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
3.18,89.1,0.8,Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
3.27,78.3,4.2,Aktif,Menengah,Perempuan,Ya,Tidak Tepat Waktu
2.7,85.9,3.6,Tidak Aktif,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.17,67.0,4.0,Tidak Aktif,Rendah,Perempuan,Tidak,Tepat Waktu
3.13,93.1,4.2,Tidak Aktif,Menengah,Laki-laki,Ya,Tepat Waktu
2.59,79.8,5.9,Tidak Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
3.26,75.7,3.5,Aktif,Tinggi,Perempuan,Tidak,Tepat Waktu
3.35,94.6,3.1,,Menengah,Perempuan,Ya,Tepat Waktu
3.59,73.5,3.4,Aktif,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
3.57,65.1,4.0,Tidak Aktif,Menengah,Laki-laki,Ya,Tepat Waktu
2.48,63.3,3.0,Tidak Aktif,Rendah,Laki-laki,Ya,Tidak Tepat Waktu
2.68,89.3,3.8,,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.33,66.6,1.7,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
3.33,100.0,2.8,Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
3.33,57.0,0.2,Tidak Aktif,Rendah,Laki-laki,Ya,Tidak Tepat Waktu
,100.0,7.1,Tidak Aktif,Menengah,Laki-laki,Ya,Tepat Waktu
3.36,84.5,1.4,Tidak Aktif,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
3.61,80.8,2.3,Tidak Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
,75.5,2.0,Tidak Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
3.39,86.8,5.2,Tidak Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
2.96,81.5,3.0,Aktif,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.44,95.2,6.1,Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
2.75,83.4,2.3,Tidak Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
2.99,83.8,4.1,Tidak Aktif,Rendah,Laki-laki,Ya,Tidak Tepat Waktu
2.88,77.6,1.9,Aktif,Menengah,Laki-laki,Ya,Tidak Tepat Waktu
3.14,81.3,7.4,Aktif,Menengah,Perempuan,Ya,Tepat Waktu
4.0,85.7,1.5,Aktif,Tinggi,Perempuan,Tidak,Tepat Waktu
2.26,61.5,3.5,Aktif,Tinggi,Laki-laki,Tidak,Tepat Waktu
3.41,,4.1,Tidak Aktif,Rendah,Perempuan,Ya,Tepat Waktu
2.37,90.9,4.5,Tidak Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
2.89,84.1,3.3,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak Tepat Waktu
3.59,79.8,3.2,Tidak Aktif,Tinggi,Laki-laki,Tidak,Tepat Waktu
3.13,82.2,3.6,Tidak Aktif,Rendah,Laki-laki,Ya,Tepat Waktu
2.62,,3.3,Tidak Aktif,Menengah,Perempuan,Ya,Tidak Tepat Waktu
2.78,75.5,5.0,Tidak Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
3.41,72.7,7.2,Tidak Aktif,Rendah,Perempuan,Tidak,Tepat Waktu
2.77,84.4,2.6,Tidak Aktif,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.2,70.3,0.6,Aktif,Menengah,Laki-laki,Ya,Tidak Tepat Waktu
3.12,86.9,3.4,Tidak Aktif,Menengah,Perempuan,Ya,Tepat Waktu
2.81,61.6,7.5,Aktif,Rendah,Laki-laki,Ya,Tepat Waktu
4.0,94.3,2.5,Tidak Aktif,Menengah,Perempuan,Ya,Tepat Waktu
3.39,87.7,6.7,Aktif,Menengah,Laki-laki,Ya,Tepat Waktu
2.19,85.1,6.6,Aktif,Menengah,Laki-laki,Tidak,Tidak Tepat Waktu
3.18,93.8,2.9,Tidak Aktif,Rendah,Laki-laki,Ya,Tepat Waktu
2.8,100.0,5.0,,Tinggi,Laki-laki,Tidak,Tepat Waktu
3.48,94.2,,,Rendah,Laki-laki,Ya,Tepat Waktu
2.74,59.9,2.1,Aktif,Menengah,Perempuan,Ya,Tidak Tepat Waktu
3.05,66.6,2.6,Tidak Aktif,Rendah,Perempuan,Tidak,Tepat Waktu
,,2.3,Tidak Aktif,Rendah,Perempuan,Ya,Tepat Waktu
3.49,82.3,1.7,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
2.56,88.2,2.5,Aktif,Rendah,Laki-laki,Ya,Tidak Tepat Waktu
2.95,73.3,1.0,Aktif,Tinggi,Laki-laki,Ya,Tidak Tepat Waktu
2.89,84.2,3.7,Aktif,Rendah,Laki-laki,Tidak,Tepat Waktu
2.81,72.9,1.8,Aktif,Menengah,Laki-laki,Ya,Tidak Tepat Waktu
3.89,74.7,3.7,Tidak Aktif,Rendah,Perempuan,Tidak,Tepat Waktu
3.28,65.1,0.2,Tidak Aktif,Rendah,Perempuan,Ya,Tidak Tepat Waktu
2.53,70.9,3.8,Tidak Aktif,Rendah,Laki-laki,Tidak,Tepat Waktu
,65.8,4.5,Tidak Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
4.0,70.3,0.0,Tidak Aktif,Menengah,Perempuan,Ya,Tepat Waktu
3.56,94.6,4.6,Tidak Aktif,Menengah,Perempuan,Ya,Tepat Waktu
2.42,70.6,5.4,Aktif,Menengah,Laki-laki,Tidak,Tidak Tepat Waktu
2.88,100.0,1.8,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
3.67,87.9,6.7,Tidak Aktif,Rendah,Perempuan,Tidak,Tepat Waktu
2.78,84.2,4.4,Tidak Aktif,Menengah,Laki-laki,Ya,Tidak Tepat Waktu
3.3,71.7,1.9,Aktif,Tinggi,Laki-laki,Tidak,Tepat Waktu
3.45,90.4,3.7,Tidak Aktif,Menengah,Perempuan,Ya,Tidak Tepat Waktu
2.68,75.1,4.3,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
3.07,83.5,3.6,Tidak Aktif,Rendah,Perempuan,Tidak,Tepat Waktu
1.64,100.0,5.0,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak Tepat Waktu
2.64,80.8,1.8,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak Tepat Waktu
2.99,95.8,4.2,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
2.54,73.6,0.7,Aktif,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
3.83,81.6,3.3,Tidak Aktif,Rendah,Laki-laki,Tidak,Tepat Waktu
2.46,100.0,2.4,Aktif,Rendah,Perempuan,Ya,Tidak Tepat Waktu
2.9,74.5,2.0,Tidak Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
3.16,100.0,6.2,Tidak Aktif,Tinggi,Perempuan,Tidak,Tepat Waktu
3.75,90.5,5.8,Aktif,Rendah,Perempuan,Ya,Tepat Waktu
2.45,75.3,4.4,Tidak Aktif,Rendah,Perempuan,Tidak,Tepat Waktu
3.62,89.6,1.7,Aktif,Rendah,Laki-laki,Ya,Tepat Waktu
3.1,93.7,3.3,Tidak Aktif,Rendah,Perempuan,Tidak,Tepat Waktu
2.66,89.5,,Tidak Aktif,Menengah,Laki-laki,Ya,Tepat Waktu
3.31,63.2,3.2,Tidak Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
3.19,73.3,7.4,Aktif,Rendah,Laki-laki,Tidak,Tepat Waktu
2.83,79.0,4.1,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
3.13,81.1,3.8,Tidak Aktif,Rendah,Laki-laki,Ya,Tepat Waktu
2.93,,3.1,Aktif,Rendah,Laki-laki,Ya,Tepat Waktu
3.15,84.1,3.8,Tidak Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
3.4,66.0,2.7,Aktif,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
3.81,,4.9,Tidak Aktif,Tinggi,Perempuan,Tidak,Tepat Waktu
2.54,89.3,5.4,Aktif,Rendah,Perempuan,Tidak,Tepat Waktu
4.0,,2.3,Tidak Aktif,Tinggi,Perempuan,Tidak,Tepat Waktu
2.22,95.0,1.5,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak Tepat Waktu
3.03,92.0,0.5,Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
3.36,87.5,4.6,,Menengah,Laki-laki,Ya,Tepat Waktu
3.23,81.2,1.5,Aktif,Menengah,Laki-laki,Tidak,Tidak Tepat Waktu
2.82,62.1,0.0,Tidak Aktif,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.01,87.2,4.4,Aktif,Rendah,Laki-laki,Ya,Tepat Waktu
2.88,84.5,8.1,Tidak Aktif,Rendah,Laki-laki,Ya,Tepat Waktu
2.83,85.3,3.6,Aktif,Rendah,Laki-laki,Ya,Tepat Waktu
3.48,66.7,4.5,Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
3.26,69.0,3.2,Tidak Aktif,Menengah,Perempuan,Ya,Tepat Waktu
2.79,94.6,3.7,Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
3.5,81.5,5.2,Tidak Aktif,Rendah,Laki-laki,Ya,Tepat Waktu
3.24,90.2,3.2,Tidak Aktif,Tinggi,Laki-laki,Tidak,Tepat Waktu
3.47,82.3,4.0,Tidak Aktif,Tinggi,Laki-laki,Tidak,Tepat Waktu
3.38,82.4,4.1,Tidak Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
2.73,93.3,2.6,Tidak Aktif,Tinggi,Laki-laki,Tidak,Tepat Waktu
